stage_id,n,J1_rate,J1_lo,J1_hi,J2_rate,J2_lo,J2_hi,J3_rate,J3_lo,J3_hi,screen_rate,pct_J1J2,kappa_J1J2,ac1_J1J2,pct_J1J3,kappa_J1J3,ac1_J1J3
A_addback_eps0.10,30,0.26666666666666666,0.14182495553910618,0.4444830204431169,0.7666666666666667,0.5907132766967574,0.8820776078949878,0.1724137931034483,0.07597745271479928,0.34548800572815114,0.0,0.43333333333333335,0.09252669039145914,0.24472417623102555,0.6551724137931034,0.36123348017621143,0.5374800637958532
A_merge_w0.10,26,0.3076923076923077,0.16501120939792674,0.49988611514231246,0.6923076923076923,0.5001138848576876,0.8349887906020732,0.16666666666666666,0.06678568000728924,0.3585347038786943,0.0,0.5384615384615384,0.19587628865979373,0.3846153846153846,0.625,0.3571428571428572,0.4823247453565009
A_parent,26,1.0,0.8712669561953784,1.0,1.0,0.8712669561953784,1.0,0.9230769230769231,0.7585805251948495,0.9786453608166245,0.46153846153846156,1.0,nan,1.0,0.9230769230769231,0.0,0.9201228878648234
A_quant_nf4,10,0.1,0.01787574951572113,0.4041563854975721,0.8,0.49015684672072335,0.9433190520193067,0.1,0.01787574951572113,0.4041563854975721,0.0,0.3,0.05405405405405403,0.06976744186046512,0.8,0.44444444444444453,0.7590361445783134
A_root,23,0.17391304347826086,0.06978540350612772,0.37138054785295666,0.6521739130434783,0.4488997690689164,0.8118894536301776,0.08695652173913043,0.02417949540723341,0.2679640429809402,0.0,0.5217391304347826,0.20189274447949532,0.36868371802869615,0.7391304347826086,0.4152542372881354,0.6698564593301435
A_root_n120,63,0.1746031746031746,0.10039293923176863,0.28621659734425586,0.7142857142857143,0.5929704958526203,0.8109695654265832,0.08333333333333333,0.03611992405048589,0.18069168468112481,0.031746031746031744,0.42857142857142855,0.11267605633802814,0.2368133254816186,0.7166666666666667,0.3895870736086177,0.637623234745537
B_addback_eps0.10,22,0.3181818181818182,0.1636038735469248,0.5268177721716065,0.7727272727272727,0.5655964393704065,0.8987710920517964,0.3181818181818182,0.1636038735469248,0.5268177721716065,0.045454545454545456,0.5454545454545454,0.31677018633540366,0.3678160919540229,0.7727272727272727,0.6529968454258674,0.6684250188394875
B_merge_w0.10,23,0.391304347826087,0.22157377982382145,0.5921482039625402,0.8260869565217391,0.6286194521470433,0.9302145964938723,0.2727272727272727,0.1315058201581444,0.4815212369900198,0.043478260869565216,0.5652173913043478,0.27672955974842756,0.4177215189873417,0.7272727272727273,0.580952380952381,0.6039009752438109
B_parent,26,1.0,0.8712669561953784,1.0,1.0,0.8712669561953784,1.0,0.9230769230769231,0.7585805251948495,0.9786453608166245,0.46153846153846156,1.0,nan,1.0,0.9230769230769231,0.0,0.9201228878648234
B_quant_nf4,13,0.46153846153846156,0.2320575430148814,0.7085656756816796,0.9230769230769231,0.6668546607175265,0.9862899336203037,0.3076923076923077,0.12680497161618087,0.5763111218666236,0.23076923076923078,0.5384615384615384,0.1333333333333332,0.41353383458646614,0.6923076923076923,0.5272727272727272,0.5555555555555555
B_root,26,0.4230769230769231,0.255441899027294,0.6105170307888017,0.8076923076923077,0.6212336384535001,0.9149306422821174,0.19230769230769232,0.08506935771788268,0.3787663615465,0.038461538461538464,0.6153846153846154,0.29729729729729726,0.496124031007752,0.6538461538461539,0.4306569343065694,0.5137662337662338
B_root_n120,79,0.27848101265822783,0.19168037554546474,0.3858265774829654,0.7721518987341772,0.6683294466956345,0.8507334395837226,0.19480519480519481,0.12176294266340366,0.2968532153542507,0.05063291139240506,0.4936708860759494,0.21295143212951434,0.3150907613112978,0.6493506493506493,0.43351498637602176,0.5075501865340203
C_addback_eps0.10,31,0.7096774193548387,0.5340734004245933,0.8390437928156713,0.7419354838709677,0.5675352757228489,0.8629845626313024,0.4838709677419355,0.3196998603127883,0.6515988171302683,0.0967741935483871,0.8709677419354839,0.7040572792362769,0.8351611831173147,0.6451612903225806,0.40592334494773513,0.5084684684684684
C_merge_w0.10,31,0.7419354838709677,0.5675352757228489,0.8629845626313024,0.7419354838709677,0.5675352757228489,0.8629845626313024,0.4838709677419355,0.3196998603127883,0.6515988171302683,0.0967741935483871,0.8387096774193549,0.6163366336633664,0.7963875205254516,0.6129032258064516,0.3404255319148936,0.47102737291148244
C_parent,37,1.0,0.9059390425448564,1.0,1.0,0.9059390425448564,1.0,1.0,0.9059390425448564,1.0,0.8648648648648649,1.0,nan,1.0,1.0,nan,1.0
C_quant_nf4,6,0.3333333333333333,0.09676933255921683,0.7000116786584712,0.8333333333333334,0.43649056343635395,0.9699474141282697,0.16666666666666666,0.03005258587173032,0.563509436563646,0.0,0.16666666666666666,-0.20000000000000007,-0.16504854368932037,0.5,0.3333333333333333,0.25773195876288657
C_root,29,0.7241379310344828,0.5428252365556403,0.8530141866149725,0.7241379310344828,0.5428252365556403,0.8530141866149725,0.4482758620689655,0.2841291114874579,0.6245233293193238,0.034482758620689655,0.7931034482758621,0.5271739130434783,0.7367624810892588,0.5517241379310345,0.29664179104477617,0.37271214642262895
C_root_auroc_argmax,36,1.0,0.9035781695514236,1.0,1.0,0.9035781695514236,1.0,1.0,0.9035781695514236,1.0,0.9444444444444444,1.0,nan,1.0,1.0,nan,1.0
C_root_n120,83,0.6265060240963856,0.5190148638142846,0.722804724954232,0.7590361445783133,0.6569006190219979,0.8382537770278216,0.3902439024390244,0.2918451685297083,0.4984662888522603,0.024096385542168676,0.7590361445783133,0.4904849600982197,0.6860668526310811,0.5853658536585366,0.3902012248468941,0.40117059550018785
